,0
0,0.0
1,0.1100817397236824
2,0.1972089409828186
3,0.24811898171901703
4,0.2978716492652893
5,0.33513912558555603
6,0.36991098523139954
7,0.3980620801448822
8,0.42371150851249695
9,0.44650596380233765
10,0.46626707911491394
11,0.4849764406681061
12,0.5011240839958191
13,0.5160237550735474
14,0.5304526686668396
15,0.5434415340423584
16,0.5554102659225464
17,0.5663875341415405
18,0.5764809846878052
19,0.5864644646644592
20,0.5953502655029297
21,0.6038834452629089
22,0.6122192740440369
23,0.6199132800102234
24,0.6273645162582397
25,0.6346166729927063
26,0.6413459777832031
27,0.6478185653686523
28,0.6541264653205872
29,0.6601395010948181
30,0.665951132774353
31,0.6716289520263672
32,0.6770181059837341
33,0.6821268200874329
34,0.6871748566627502
35,0.6921593546867371
36,0.6967127323150635
37,0.7010648846626282
38,0.7053722739219666
39,0.7095834612846375
40,0.7135815620422363
41,0.717462956905365
42,0.721263587474823
43,0.7249674201011658
44,0.7286154627799988
45,0.7321084141731262
46,0.7354564666748047
47,0.738731861114502
48,0.7419509291648865
49,0.7450194954872131
50,0.7480322122573853
51,0.7509634494781494
52,0.7538439035415649
53,0.7566768527030945
54,0.7594010829925537
55,0.7621167898178101
56,0.7647191882133484
57,0.767225980758667
58,0.7696824073791504
59,0.7721062898635864
60,0.7745036482810974
61,0.7768294215202332
62,0.7791414856910706
63,0.7814258933067322
64,0.7836796045303345
65,0.7858583331108093
66,0.7879616022109985
67,0.7900105714797974
68,0.7920041680335999
69,0.7939711213111877
70,0.7959057092666626
71,0.7978096604347229
72,0.7996758818626404
73,0.8015307188034058
74,0.8033530712127686
75,0.8051276206970215
